,Provinsi,Jumlah Penduduk 2024,Timbulan Sampah Tahunan (ton),Pencemaran Air,Pencemaran Tanah,Pencemaran Udara,Tidak Ada Pencemaran
1,Aceh,5554.8,940267.23,308.0,14.0,168.0,6.088
2,Sumatera Utara,15588.5,1093646.76,800.0,20.0,229.0,5.184
3,Sumatera Barat,5836.2,798430.65,238.0,27.0,158.0,950
4,Riau,6728.1,752982.8,248.0,6.0,123.0,1.535
5,Jambi,3724.3,233450.87,466.0,27.0,55.0,1.082
6,Sumatera Selatan,8837.3,642748.64,405.0,34.0,229.0,2.750
7,Bengkulu,2112.2,245220.59,219.0,4.0,74.0,1.255
8,Lampung,9419.6,720583.2999999999,286.0,15.0,174.0,2.268
9,Jawa Barat,50345.2,6153346.9399999995,1354.0,65.0,461.0,4.413
10,Banten,12431.4,2159859.19,319.0,36.0,182.0,1.145
11,Jawa Tengah,37892.3,3530896.2,1366.0,122.0,583.0,6.861
12,Jawa Timur,41814.5,4335798.32,1101.0,86.0,570.0,7.103
13,Kalimantan Barat,5695.5,790470.33,680.0,67.0,157.0,1.420
14,Kalimantan Tengah,2809.7,463358.57,572.0,92.0,71.0,980
15,Kalimantan Selatan,4273.4,798570.41,332.0,23.0,112.0,1.628
16,Kalimantan Timur,4045.9,835108.87,197.0,25.0,104.0,801
17,Kalimantan Utara,7398.0,51567.579999999994,85.0,21.0,34.0,389
18,Sulawesi Utara,2701.8,505276.77,172.0,11.0,174.0,1.533
19,Gorontalo,1227.8,72827.63,55.0,1.0,160.0,528
20,Sulawesi Tengah,3121.8,249978.30000000002,130.0,16.0,62.0,1.850
21,Sulawesi Selatan,9463.4,1210074.35,279.0,22.0,131.0,2.681
22,Sulawesi Barat,1503.2,109656.19,68.0,1.0,50.0,540
23,Sulawesi Tenggara,2793.1,246137.69,170.0,32.0,143.0,2.033
24,Bali,4433.3,1167451.76,119.0,18.0,19.0,586
25,Nusa Tenggara Barat,5646.0,626286.71,249.0,12.0,52.0,894
26,Nusa Tenggara Timur,5656.0,627983.42,74.0,25.0,131.0,3.331
27,Maluku,1945.6,169087.23,57.0,3.0,13.0,1.195
28,Maluku Utara,1355.6,121288.44,72.0,7.0,39.0,1.107
29,Papua Barat,1205.8,106048.56,21.0,3.0,4.0,945
30,Papua,4542.6,82009.66,81.0,13.0,41.0,918
